Gene Name	fr	rf	star
ANGPTL5	0	0	0
ANGPTL6	1	1	1
ANGPTL7	0	0	0
ANGPTL8	3	3	3
ANHX	0	0	0
ANK1	1042	1043	1278
ANK2	105	105	341
ANK3	94	93	458
ANKAR	21	21	35
ANKDD1A	9	9	21
ANKDD1B	0	0	0
ANKEF1	24	24	24
ANKFN1	0	0	0
ANKFY1	30	30	30
ANKH	401	401	409
ANKHD1	7	7	22
ANKHD1-EIF4EBP3	134	137	126
ANKIB1	183	183	120
ANKK1	0	0	0
ANKLE1	32	32	33
ANKLE2	6	6	6
ANKMY1	0	0	0
ANKMY2	9	9	132
ANKRA2	26	26	33
ANKRD1	8	8	8
ANKRD10	22	22	22
ANKRD11	42	42	32
ANKRD11P1	0	0	0
ANKRD11P2	0	0	0
ANKRD12	768	769	753
ANKRD13A	160	160	159
ANKRD13B	0	0	0
ANKRD13C	29	29	32
ANKRD13D	6	6	6
ANKRD16	10	10	21
ANKRD17	242	242	229
ANKRD18A	7	7	8
ANKRD18B	19	19	27
ANKRD18CP	4	4	69
ANKRD18DP	1	1	0
ANKRD18EP	2	2	6
ANKRD19P	3	3	3
ANKRD2	1	1	4
ANKRD20A1	10	10	2
ANKRD20A10P	0	0	2
ANKRD20A11P	1	2	1
ANKRD20A16P	0	0	0
ANKRD20A17P	0	0	0
ANKRD20A18P	0	0	0
ANKRD20A19P	3	3	11
ANKRD20A20P	6	4	1
ANKRD20A4-ANKRD20A20P	45	38	51
ANKRD20A5P	27	27	12
ANKRD20A6P	0	0	0
ANKRD20A7P	11	11	7
ANKRD20A8P	17	18	9
ANKRD20A9P	10	10	0
ANKRD22	16	16	17
ANKRD23	0	0	0
ANKRD24	0	0	0
ANKRD26	149	149	150
ANKRD26P1	11	11	9
ANKRD26P2	1	1	5
ANKRD26P3	8	9	8
ANKRD26P4	0	0	0
ANKRD27	88	88	119
ANKRD28	67	67	80
ANKRD29	0	0	0
ANKRD30A	1	1	1
ANKRD30B	57	55	1
ANKRD30BL	0	0	0
ANKRD30BP1	1	1	0
ANKRD30BP2	3	3	3
ANKRD30BP3	1	1	2
ANKRD31	2	2	0
ANKRD33	0	0	0
ANKRD33B	18	18	19
ANKRD34A	0	0	0
ANKRD34B	0	0	0
ANKRD34C	2	1	0
ANKRD34C-AS1	19	22	19
ANKRD35	0	0	2
ANKRD36	0	0	4
ANKRD36B	0	0	0
ANKRD36BP1	1	1	4
ANKRD36BP2	81	81	88
ANKRD36C	4	4	4
ANKRD36P1	1	1	1
ANKRD37	0	0	0
ANKRD39	1	1	1
ANKRD40	61	61	67
ANKRD40CL	0	0	0
ANKRD42	35	35	61
ANKRD42-DT	1	1	8
ANKRD44	191	191	234
ANKRD44-AS1	0	0	1
ANKRD44-IT1	22	22	100
ANKRD45	0	0	6
ANKRD46	0	0	130
ANKRD49	56	56	65
ANKRD49P1	0	0	0
ANKRD49P2	0	0	0
ANKRD49P3	0	0	1
ANKRD49P4	0	0	0
ANKRD50	14	14	14
ANKRD52	16	16	17
ANKRD53	0	0	0
ANKRD54	23	23	22
ANKRD54P1	0	0	0
ANKRD55	3	3	3
ANKRD6	24	24	24
ANKRD60	0	0	0
ANKRD61	0	0	0
