Gene Name	fr	rf	star
ANAPC4	25	25	22
ANAPC5	24	24	71
ANAPC7	14	14	16
ANCV1RP	0	0	0
ANG	0	0	1
ANGEL1	68	68	59
ANGEL2	64	64	53
ANGPT1	17	17	17
ANGPT2	3	3	19
ANGPT4	0	0	0
ANGPTL1	3	3	3
ANGPTL2	0	0	0
ANGPTL3	1	1	0
ANGPTL4	2	2	2
ANGPTL5	0	0	0
ANGPTL6	0	0	0
ANGPTL7	0	0	0
ANGPTL8	0	0	0
ANHX	0	0	0
ANK1	95	94	645
ANK2	46	47	105
ANK3	53	56	45
ANKAR	10	10	6
ANKDD1A	48	48	50
ANKDD1B	0	0	0
ANKEF1	0	0	0
ANKFN1	0	0	0
ANKFY1	29	29	29
ANKH	108	108	104
ANKHD1	10	10	13
ANKHD1-EIF4EBP3	12	12	14
ANKIB1	193	193	110
ANKK1	0	0	0
ANKLE1	1	1	1
ANKLE2	0	0	0
ANKMY1	19	19	19
ANKMY2	42	42	44
ANKRA2	26	26	26
ANKRD1	1	1	0
ANKRD10	43	43	45
ANKRD11	52	49	55
ANKRD11P1	0	0	0
ANKRD11P2	1	1	0
ANKRD12	499	499	506
ANKRD13A	67	67	68
ANKRD13B	0	0	0
ANKRD13C	73	73	77
ANKRD13D	13	13	12
ANKRD16	0	0	1
ANKRD17	322	322	311
ANKRD18A	0	0	0
ANKRD18B	2	1	3
ANKRD18CP	0	0	0
ANKRD18DP	1	1	0
ANKRD18EP	1	0	0
ANKRD19P	1	1	1
ANKRD2	0	0	0
ANKRD20A1	2	2	26
ANKRD20A10P	0	0	0
ANKRD20A11P	1	0	1
ANKRD20A16P	0	0	0
ANKRD20A17P	0	0	0
ANKRD20A18P	0	0	0
ANKRD20A19P	2	2	1
ANKRD20A20P	1	1	1
ANKRD20A4-ANKRD20A20P	10	14	0
ANKRD20A5P	0	0	0
ANKRD20A6P	1	1	0
ANKRD20A7P	1	1	1
ANKRD20A8P	6	5	0
ANKRD20A9P	1	1	0
ANKRD22	12	12	11
ANKRD23	0	0	2
ANKRD24	1	1	0
ANKRD26	163	163	169
ANKRD26P1	4	6	8
ANKRD26P2	0	0	1
ANKRD26P3	6	6	4
ANKRD26P4	0	0	0
ANKRD27	62	63	64
ANKRD28	139	139	137
ANKRD29	0	0	0
ANKRD30A	0	0	0
ANKRD30B	2	2	0
ANKRD30BL	0	0	2
ANKRD30BP1	15	16	14
ANKRD30BP2	1	2	0
ANKRD30BP3	0	0	1
ANKRD31	7	7	0
ANKRD33	0	0	0
ANKRD33B	40	40	40
ANKRD34A	0	0	0
ANKRD34B	0	0	0
ANKRD34C	11	1	2
ANKRD34C-AS1	7	2	1
ANKRD35	2	2	1
ANKRD36	0	0	0
ANKRD36B	0	0	0
ANKRD36BP1	0	0	0
ANKRD36BP2	226	210	209
ANKRD36C	26	19	21
ANKRD36P1	1	1	2
ANKRD37	0	0	0
ANKRD39	0	0	1
ANKRD40	39	39	39
ANKRD40CL	0	0	0
ANKRD42	3	4	16
ANKRD42-DT	1	0	0
ANKRD44	191	191	197
ANKRD44-AS1	0	0	0
ANKRD44-IT1	43	43	43
ANKRD45	0	0	0
ANKRD46	5	5	5
ANKRD49	12	12	13
ANKRD49P1	0	0	0
ANKRD49P2	0	0	0
ANKRD49P3	0	0	0
ANKRD49P4	0	0	0
ANKRD50	43	43	43
ANKRD52	6	6	6
ANKRD53	0	0	0
ANKRD54	0	0	11
ANKRD54P1	0	0	0
ANKRD55	6	6	6
ANKRD6	0	0	0
ANKRD60	0	0	0
ANKRD61	0	0	0
ANKRD62	0	0	0
