		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460068	44806	ACTG1P16	1	0.0717941626894495	ACTG1P16	1	0.088501175074352
SGI75460068	44805	ACTG1P17	0	0.0	ACTG1P17	0	0.0
SGI75460068	44804	ACTG1P18	0	0.0	ACTG1P18	0	0.0
SGI75460068	44803	ACTG1P19	0	0.0	ACTG1P19	0	0.0
SGI75460068	44802	ACTG1P2	1	0.0717941626894495	ACTG1P2	0	0.0
SGI75460068	44801	ACTG1P20	0	0.0	ACTG1P20	0	0.0
SGI75460068	44800	ACTG1P21	2	0.1435883253788991	ACTG1P21	2	0.1770023501487041
SGI75460068	44799	ACTG1P22	0	0.0	ACTG1P22	0	0.0
SGI75460068	44798	ACTG1P23	0	0.0	ACTG1P23	1	0.088501175074352
SGI75460068	44797	ACTG1P24	0	0.0	ACTG1P24	0	0.0
SGI75460068	44796	ACTG1P25	1	0.0717941626894495	ACTG1P25	6	0.5310070504461123
SGI75460068	44795	ACTG1P3	0	0.0	ACTG1P3	0	0.0
SGI75460068	44794	ACTG1P4	2	0.1435883253788991	ACTG1P4	2	0.1770023501487041
SGI75460068	44793	ACTG1P9	0	0.0	ACTG1P9	0	0.0
SGI75460068	44792	ACTG2	1	0.0717941626894495	ACTG2	2	0.1770023501487041
SGI75460068	44791	ACTL10	0	0.0	ACTL10	0	0.0
SGI75460068	44790	ACTL11P	0	0.0	ACTL11P	0	0.0
SGI75460068	44789	ACTL6A	14	1.0051182776522936	ACTL6A	57	5.044566979238067
SGI75460068	44788	ACTL6B	2	0.1435883253788991	ACTL6B	1	0.088501175074352
SGI75460068	44787	ACTL7A	0	0.0	ACTL7A	0	0.0
SGI75460068	44786	ACTL7B	0	0.0	ACTL7B	2	0.1770023501487041
SGI75460068	44785	ACTL8	0	0.0	ACTL8	0	0.0
SGI75460068	44784	ACTL9	0	0.0	ACTL9	3	0.2655035252230561
SGI75460068	44783	ACTN1	411	29.50740086536376	ACTN1	377	33.364943003030724
SGI75460068	44782	ACTN1-DT	1	0.0717941626894495	ACTN1-DT	0	0.0
